Question,Answer
Provide a detailed description of the proposed solution.,Not enough information is available in the retrieved content.
What are the scalability options for the proposed solution?,Not enough information is available in the retrieved content.
Scalability - min and max capacity and number of objects supported,Not enough information is available in the retrieved content.
"No SPOF (Single Point of Failure) components – for software defined, how does your software report and manage failed components? Are there any SPOF in any piece of the architecture - hardware, software, or both? If no, please explain how this is accomplished.",Not enough information is available in the retrieved content.
"Does the solution have automatic failure notification via email, text, and other methods?",Not enough information is available in the retrieved content.
"Can access to reporting features be segregated by users/roles? If so, please explain.",Not enough information is available in the retrieved content.
"Does the solution have reporting related to system health? If so, please explain the reporting and the granularity. ","The solution offers health check reports that provide information about the health of HCP nodes. These reports are prepared by running a health diagnostic tool on the available nodes in the cluster. The tool uses signatures (JSON files containing shell commands) to gather configuration information and collect data on potential issues. Signatures are classified into components (replication, admin, JVM, etc.) and types (info and issue). Info signatures collect node configuration information such as memory configuration, HCP version, and hot fixes. Issue signatures report if a node is experiencing or is at risk of experiencing an issue, such as server issues, object issues, or repeated node restarts. The health check reports can be prepared only on nodes that are running and available. Performance metrics are also available to monitor system status by providing information about system events."
"Product reporting - including chargeback for tenant capacity, performance usage and product health","Chargeback reports provide information for system analysis, enabling you to adjust storage and bandwidth allocations based on usage patterns. These reports can also serve as input to billing systems that need to determine charges for capacity and bandwidth usage at the tenant or namespace level. A chargeback report contains aggregated namespace statistics for each HCP tenant that’s defined on the HCP system. For any given tenant, the total number of reads shown for a specific reporting interval is the total number of read operations that occurred during that interval in all the namespaces owned by that tenant. Chargeback reports also contain aggregated HCP-tenant statistics for the HCP system as a whole. When generated from the Tenant Management Console, chargeback reports are in CSV format. Each line in a report contains the values for one namespace or for the tenant during one instance of the reporting interval and are ordered alphabetically by namespace name."
Describe all the security features of the proposed solution.,"Here's a description of security functionalities based on the provided documents:

*   **Hardening Guidelines:** StorageGRID provides hardening guidelines as a supplement to industry-standard best practices, assuming strong passwords, HTTPS usage, and certificate-based authentication.
*   **Security Tasks:** Managing security certificates, internal firewall controls, key management servers, security settings (TLS, SSH policy, network/object security, interface security), and configuring storage/admin proxies.
*   **Access Control:** Managing admin groups/users, changing provisioning passphrases/node console passwords, using identity federation.
*   **Network Security:** Options to enable/disable ping, SSH, node status, SSL renegotiation; restrict anonymous access with CIFS; prevent data access with SMBv1; configure minimum security protocol (TLS version) and enabled/disabled ciphers.
*   **Vulnerability Handling:** StorageGRID follows the NetApp Vulnerability Handling Policy, with reported vulnerabilities verified and addressed.
*   **SNMP:** Enabling or disabling the use of SNMP for modifying system settings."
"Please specify how data at rest encryption is provided (e.g. underlying server/disk encryption, software-based server-side encryption, client provided Keys?)","There are multiple options for data at rest encryption:

1.  **S3 object server-side encryption with customer-provided keys (SSE-C):**
    *   You issue an S3 request to store an object and include three request headers:
        *   x-amz-server-side-encryption-customer-algorithm
        *   x-amz-server-side-encryption-customer-key
        *   x-amz-server-side-encryption-customer-key-MD5
    *   Only newly ingested S3 object data is encrypted, and encryption must be specified for the object. Object metadata and other sensitive data aren’t encrypted. Keys are managed outside of StorageGRID.
2.  **External volume or datastore encryption:**
    *   You use an encryption method outside of StorageGRID to encrypt an entire volume or datastore, if your deployment platform supports it. All object data, metadata, and system configuration data is encrypted, assuming every volume or datastore is encrypted. An external encryption method provides tighter control over encryption algorithms and keys and can be combined with the other methods listed.
3.  **Object encryption outside of StorageGRID:**
    *   You use an encryption method outside of StorageGRID to encrypt object data and metadata before they are ingested into StorageGRID. Only object data and metadata are encrypted (system configuration data is not encrypted). An external encryption method provides tighter control over encryption algorithms."
Does the solution support FIPS 140-2 compliant AES 256-bit encryption? Is this compliance selectable or does it demand all or nothing?,"The solution supports FIPS 140-2 validated cryptography. For appliance models containing SED or FIPS NVMe SSDs that you manage using the StorageGRID Appliance Installer and Grid Manager, you can enable and configure StorageGRID drive encryption. The security policy can also require FIPS mode.

It is unclear from the context whether AES 256-bit encryption is specifically implemented or if the use of FIPS-validated encryption is configurable system-wide."
Product performance capabilities - e.g.  read or written per minute. How many connections can the product sustain,Not enough information is available in the retrieved content.
Availability and Reliability (Resilience),Not enough information is available in the retrieved content.
